,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy volume,Taker buy quote asset volume,Ignore
559,2021-03-20 00:00:00+00:00,58089.11,59948.00,57881.00,58145.61,203680.149,2021-03-20 23:59:59.999000+00:00,12000524068.54844,2543381,100819.551,5941806972.74230,0
560,2021-03-21 00:00:00+00:00,58144.44,58638.70,55403.55,57415.18,237518.696,2021-03-21 23:59:59.999000+00:00,13576194106.98524,2940088,115249.868,6588584990.97905,0
561,2021-03-22 00:00:00+00:00,57415.19,58500.00,53635.81,54129.56,293062.947,2021-03-22 23:59:59.999000+00:00,16556509289.78695,3557593,140398.942,7936406259.22970,0
562,2021-03-23 00:00:00+00:00,54129.56,55890.68,52981.40,54400.00,276199.041,2021-03-23 23:59:59.999000+00:00,15088688822.77058,3202573,134532.639,7351102130.74858,0
563,2021-03-24 00:00:00+00:00,54400.00,57234.79,51666.00,52311.54,394172.526,2021-03-24 23:59:59.999000+00:00,21637316948.63563,4140709,189909.676,10427034831.44092,0
564,2021-03-25 00:00:00+00:00,52307.89,53255.20,50452.08,51325.21,416848.091,2021-03-25 23:59:59.999000+00:00,21627711387.30238,4302154,204849.290,10630602356.39878,0
565,2021-03-26 00:00:00+00:00,51325.21,55123.00,51260.00,55030.00,271957.842,2021-03-26 23:59:59.999000+00:00,14483003307.72439,2948225,136780.445,7286122829.28683,0
566,2021-03-27 00:00:00+00:00,55030.00,56658.76,54001.00,55828.00,234435.346,2021-03-27 23:59:59.999000+00:00,12939134315.65276,2589316,117057.480,6461486294.95898,0
567,2021-03-28 00:00:00+00:00,55828.00,56588.31,54694.91,55805.08,200603.768,2021-03-28 23:59:59.999000+00:00,11188756872.79973,2260517,97635.468,5446627096.10740,0
568,2021-03-29 00:00:00+00:00,55804.16,58490.11,54931.15,57677.64,277215.268,2021-03-29 23:59:59.999000+00:00,15858571872.53349,3043409,138125.585,7902278216.89052,0
569,2021-03-30 00:00:00+00:00,57676.14,59560.00,57110.00,58794.16,232824.065,2021-03-30 23:59:59.999000+00:00,13629362092.38509,2568718,115846.127,6782192557.11194,0
570,2021-03-31 00:00:00+00:00,58794.17,59920.00,56812.00,58807.24,337038.349,2021-03-31 23:59:59.999000+00:00,19776038991.85102,3429371,165663.891,9722384780.61966,0
571,2021-04-01 00:00:00+00:00,58810.99,59592.22,58002.00,58794.01,196332.114,2021-04-01 23:59:59.999000+00:00,11561694922.60452,2133428,94680.735,5576910250.62599,0
572,2021-04-02 00:00:00+00:00,58797.56,60397.85,58490.03,59031.36,189391.958,2021-04-02 23:59:59.999000+00:00,11251166314.77901,2130064,92589.845,5501759219.26745,0
573,2021-04-03 00:00:00+00:00,59028.99,59925.00,56900.00,57134.65,198636.171,2021-04-03 23:59:59.999000+00:00,11672141257.52950,2247303,93687.055,5507316845.02153,0
